"","CF_DIC_total","CF_pH","Tank_DIC_total","Tank_pH"
"e_6h_62A",3014.955837,6.996333333,2295.172027,6.895666667
"e_6h_27A",3785.508393,7.028333333,2208.27,6.853666667
"e_6h_32A",3520.282609,7.204333333,2150.81,7.005666667
"e_6h_37",3169.070091,7.067,2123.49,6.951
"e_9h_63B",4463.452699,7.108,2018.73,7.518
"e_9h_33B",7281.723205,7.3,1981.32,7.463333333
"e_9h_28B",6846.726671,7.28,1983.98,7.422
"e_9h_38B",5735.694747,6.872,2218.97,7.502666667
"e_12h_64A",3668.497113,7.314666667,2025.33,7.747666667
"e_12h_29A",3386.828599,7.328,1869.46,7.607333333
"e_12h_34A",4225.2,7.509333333,2035,7.624333333
"e_12h_39A",3361.9,7.652,2161.74,7.623
"c_6hr_42",3195.677636,7.162,1884.45,7.606
"c_6hr_47",4468.32327,7.166,1814.31,7.695666667
"c_6hr_52",3475.455332,7.253333333,1964.22,7.674
"c_6hr_57",3539.89,7.268,2051.6,7.627
"c_9hr_43",4699.768131,6.966333333,1886.74,7.625333333
"c_9hr_48",4687.742245,7.204666667,1875.18,7.679333333
"c_9hr_53",3256.720533,7.311,1880.92,7.643666667
"c_9hr_58",3063.711621,6.941,1942.29,7.626333333
"c_12hr_44",2863.585806,7.004,1829.714482,7.626333333
"c_12hr_49",4517.198752,7.069,1821.70645,7.677666667
"c_12hr_54A",3167.060532,7.200666667,1987.206465,7.654333333
"c_12hr_59A",3112.323115,6.803333333,2084.638552,7.651
